关键词,类型,来源,运行次数,累计新增条数,平均热度,命中率,首次发现,最近运行
职场沟通破局话术,候选,职场破局话术大全轮大家都在搜,0,0,—,—,2026-08-12,—
高情商破局,候选,职场破局话术大全轮大家都在搜,1,0; run3(08-13)新增6条,"约4113(4条有效样本:731/1.5万/524/195,2条无点赞数据) | 前值见历史","run3(2026-08-13)_候选首投(08-12新收割,今日未测试过)_6/20=30.0%(XHS已登录真实数据,原始命中16/20=80%但经相关性过滤剔除10条泛人性心理/非职场内容[人性奥秘账号纳瓦尔进化论等]后实际收录6条;新增老祖宗对付小人心理博弈术/草台班子里最聪明的不是往上爬/毛选别人甩锅一招破局等,未达40%阈值,维持候选状态;该词与已活跃'职场破局话术大全/职场话术反制技巧'存在中度主题重叠,后续需持续去重) | 前值:—",2026-08-12,2026-08-13
职场高情商回怼,候选,"WebSearch(知乎question311123541,职场委婉表达轮相关搜索)",1,"run4(2026-08-12)候选首投_web-only新增2条(2/8=25.0%);新增私下见领导对方说批评你语气重了千万别说没事儿高情商这样回/你是如何应对工作中那些刁难你的人的[均知乎],过滤6条与run3已收录重复;未达40%阈值维持候选,因XHS未登录数据不完整建议下次XHS恢复后复投",—(web-only无点赞数据),"25.0%(2/8,候选首投,web-only)",2026-08-12,2026-08-12
职场沟通踩雷点,活跃,"WebSearch(知乎question1905271407262278572,职场表达轮相关搜索)",1,"run(2026-08-13)候选首投综合排序新增12条(12/20=60.0%,远超40%阈值同轮升级为活跃;新增12种低情商你占了几种2220赞/你的合作空间决定了你的职场天花板[黄执中]8748赞/职场中的一些隐形霸凌2604赞/沟通能力强的人说话都是这样的5662赞等)",约2858(11条有效样本:2220/1106/7409/1969/16/857/8748/2604/660/5662/174),"60.0%(12/20,候选首投,综合排序,XHS已登录真实数据)",2026-08-12,2026-08-13
面试紧张怎么快速缓解,活跃,WebSearch(面试松弛感秘诀轮相关搜索),1,"run(2026-08-13)候选首投综合排序新增14条(14/20=70.0%,远超40%阈值同轮升级为活跃,本轮全场最高命中率;新增撒贝宁的紧张自救法5162赞/我发现一个面试无敌的顶级心态5142赞/大心脏邓亚萍的顶级抗压法2504赞等,覆盖面试及广义上台紧张两类场景)",约1257(14条有效样本:2275/19/10/924/5142/20/477/23/170/4/614/2504/254/5162),"70.0%(14/20,候选首投,综合排序,XHS已登录真实数据)",2026-08-12,2026-08-13
口才式演讲,候选,职场口才训练轮WebSearch(知乎question478883060),0,0,—,—,2026-08-12,—
无领导小组讨论真题库,候选,无领导小组模拟题库轮WebSearch(PreTalent/CSDN/知乎),0,0,—,—,2026-08-12,—
无领导小组模拟题目,候选,无领导小组模拟题库相关搜索(2026-08-13),0,0,—,—,2026-08-13,—
无领导小组试题及答案,候选,无领导小组模拟题库相关搜索(2026-08-13),0,0,—,—,2026-08-13,—
无领导小组模考,候选,无领导小组模拟题库相关搜索(2026-08-13),0,0,—,—,2026-08-13,—
无领导小组收题本,候选,无领导小组模拟题库相关搜索(2026-08-13),0,0,—,—,2026-08-13,—
ai面试辅助工具,候选,AI面试轮大家都在搜,0,0,—,—,2026-08-13,—
结构化面试100题电子版,候选,结构化面试100题轮大家都在搜,0,0,—,—,2026-08-13,—
职场沟通避坑,候选,职场沟通踩雷点轮大家都在搜,0,0,—,—,2026-08-13,—
面试脱敏专用视频,候选,面试紧张怎么快速缓解轮大家都在搜,0,0,—,—,2026-08-13,—
无领导小组材料分析题,候选,小红书搜索建议(无领导小组讨论的题目有哪些词库验证轮衍生),0,0,—,—,2026-08-13,—
hr聊天沟通时的话术,候选,小红书猜你想搜(面试被hr阴阳怪气笔记详情页衍生),1,"run4(2026-08-13)候选首投新增5条(5/20=25.0%原始;相关性过滤后5/5=100%,过滤15条与已饱和'谈薪'母题重叠内容后剩5条); ",约2753(5条样本),"run4(2026-08-13)_原始5/20=25.0%,相关性过滤后5/5=100%(候选首投,综合排序;供给被'谈薪压价/谈薪话术'已饱和母题严重稀释,真实HR聊天沟通类内容占比仅25%;未达40%阈值[按原始口径]维持候选,建议下轮改用更精确query如'HR初次聊天怎么开口'避免与谈薪重叠)",2026-08-13,2026-08-13
领导气场培养,候选,小红书搜索建议(控场能力和领导能力怎么培养词库验证轮衍生),0,0,—,—,2026-08-13,—
结构化面试三步答题法,候选,结构化面试三步破题法相关搜索,0,0,—,—,2026-08-13,—
结构化面试各模块答题框架,候选,结构化面试三步破题法相关搜索,0,0,—,—,2026-08-13,—
群面技巧和话术,候选,群面没编号怎么发言相关搜索,0,0,—,—,2026-08-13,—
hr自我介绍怎么说,候选,hr问题大家都在搜,0,0,—,—,2026-08-13,—
hr高情商沟通话术,候选,hr聊天沟通时的话术大家都在搜,0,0,—,—,2026-08-13,—
线上面试,候选,"小红书大家都在搜(2026-08-15,面试技巧/面试什么话该说词根)",0,0,,,2026-08-15,
见习面试自我介绍,候选,"小红书大家都在搜(2026-08-15,面试技巧/面试什么话该说词根)",0,0,,,2026-08-15,
秋招提前批,候选,秋招面试技巧轮 牛客/CSDN 站内高频标签(2026-08-15run2),1,4,约89(相关性过滤后2条均值),10.5%,2026-08-15,2026-08-15
反问环节问题清单,活跃,反向面试问题轮 知乎相关问答衍生(2026-08-15run2),1,7,约2287(7条相关新增均值),41.2%,2026-08-15,2026-08-15
例会发言技巧,活跃,办公室例会话术轮 百度知道/博客园衍生(2026-08-15run2),1,run2(2026-08-17)新增13条; 0,约4845（8条XHS样本）| ,2026-08-17run2_13/20=65.0%(XHS+web) | ,2026-08-15,2026-08-17
高情商回复话术,候选,沟通话术轮 知乎专栏标题(2026-08-15run2),0,0,,,2026-08-15,
反问可以问哪些问题,候选,"小红书相关搜索(反问环节问题清单轮,2026-08-15run4)",0,0,,,2026-08-15,
反问回答问题,候选,"小红书相关搜索(反问环节问题清单轮,2026-08-15run4)",0,0,,,2026-08-15,
反问小技巧,候选,"小红书相关搜索(反问环节问题清单轮,2026-08-15run4)",0,0,,,2026-08-15,
反问话术模板,候选,"小红书筛选标签(面试官反问你还有什么问题轮 话术模板,2026-08-15run4)",1,2026-08-16run1_4/19=21.1%,约1150(相关性过滤后),2026-08-16run1:21.1%(4新/19抓) | ,2026-08-15,2026-08-16
提前批免笔试,候选,秋招提前批轮 牛客/博客园站内高频表述(2026-08-15run4),0,0,,,2026-08-15,
体面拒绝话术,候选,职场拒绝话术轮 前排标题高频原句(2026-08-15run4),1,4,约1564,08-15run5:33.3%(4新/12抓;原始7条经相关性过滤后4条),2026-08-15,2026-08-15
高情商接话公式,活跃,职场会接话轮 前排标题高频原句(2026-08-15run4),1,6,约5153,08-15run5:50.0%(6新/12抓;原始6条经相关性过滤后6条),2026-08-15,2026-08-15
面试大脑空白怎么学,候选,"小红书下拉补全(面试大脑空白,2026-08-15run5)",0,0,,,2026-08-15,
面试大脑空白没词怎么办,候选,"小红书下拉补全(面试大脑空白,2026-08-15run5)",0,0,,,2026-08-15,
面试临场发挥,活跃,"小红书搜索筛选标签(面试被问到细节答不上来怎么办,2026-08-15run5)",1,2026-08-16run1_14/27=51.9%,约1.3万(压力面试4.4万/马上要面试3.4万领涨),2026-08-16run1:51.9%(14新/27抓) | ,2026-08-15,2026-08-16
面试失败案例,候选,"小红书搜索筛选标签(面试被问到细节答不上来怎么办,2026-08-15run5)",0,0,,,2026-08-15,
面试问题打不出来怎么办,候选,"小红书大家都在搜(面试被问到细节答不上来怎么办,2026-08-15run5)",0,0,,,2026-08-15,
万能场面话,候选,高情商接话公式轮 前排标题高频原句(2026-08-15run5),0,0,,,2026-08-15,
面试脏面评,活跃,小红书评论区原话+牛客帖(2026-08-16run1),1,14,约1200,"08-16run2候选首投:14/20=70.0%,远超40%阈值升级为活跃;面评焦虑为全新独立场景域",2026-08-16,2026-08-16
面试凉了的信号,活跃,"知乎问题标题(怎么判断自己面试是不是凉了,2026-08-16run1)",1,12,约250,"08-16run2候选首投:12/20=60.0%,远超40%阈值升级为活跃;判读型场景域供给充沛但答案层薄",2026-08-16,2026-08-16
反问被敷衍,候选,小红书下拉补全+笔记评论区(2026-08-16run1),0,,,,2026-08-16,
面试知识盲区,候选,"小红书前排标题高频原句(面试答不上来怎么说轮,2026-08-16run1)",0,,,,2026-08-16,
面试手撕没做出来还能过吗,候选,"小红书下拉补全(面试手撕题没做出来,08-16run2)",0,0,,,2026-08-16,
面试算法题写不出来怎么办,候选,"小红书下拉补全(面试手撕题没做出来,08-16run2)",0,0,,,2026-08-16,
面试怎么看出来自己过没过,候选,"小红书下拉补全(面试手撕题没做出来,08-16run2)",0,0,,,2026-08-16,
面试官敷衍话术,活跃,"小红书下拉补全(面试官敷衍,08-16run2)",1,8,,"run5(2026-08-16)_8/10=80.0%(web-only,XHS风控) | ",2026-08-16,2026-08-16
面试官敷衍傲慢,候选,"小红书下拉补全(面试官敷衍,08-16run2)",0,0,,,2026-08-16,
面试完等通知,活跃,"小红书下拉补全根词(面试完等通知9条补全,需求密度极高,08-16run2)",1,19,,"run5(2026-08-16)_19/25=76.0%(web-only,XHS风控) | ",2026-08-16,2026-08-16
面试说等通知是什么意思,候选,"小红书相关搜索(面试完说等通知,08-16run2)",0,0,,,2026-08-16,
面试说等通知是拒绝吗,候选,"小红书相关搜索(面试完说等通知,08-16run2)",0,0,,,2026-08-16,
面评一般写什么,候选,"小红书大家都在搜(面试脏面评,08-16run2)",0,0,,,2026-08-16,
脏面评是什么意思,候选,"小红书大家都在搜(面试脏面评,08-16run2)",0,0,,,2026-08-16,
面评怎么看,候选,"小红书大家都在搜(面试脏面评,08-16run2)",0,0,,,2026-08-16,
腾讯面试有面评吗,候选,"小红书大家都在搜(面试脏面评,08-16run2)",0,0,,,2026-08-16,
面试follow up邮件,候选,WebSearch 面灵AI/超级简历(08-16run2),0,0,,,2026-08-16,
职场边界感说话尺度,候选,"WebSearch 知乎专栏(职场分寸感轮,08-16run2)",0,0,,,2026-08-16,
面试跟进邮件,候选,2026-08-16run5收割(源④知乎/牛客问题标题),0,0,—,—,2026-08-16,
凉经,候选,2026-08-16run5收割(源④知乎/牛客问题标题),0,0,—,—,2026-08-16,
压力面试应对,活跃,2026-08-16run5收割(源④知乎/牛客问题标题),1,6,—(web-only无点赞数据),08-17run1_6/7=85.7%(web-only),2026-08-16,2026-08-17
面试哑口无言,候选,2026-08-16run5收割(源④知乎/牛客问题标题),0,0,—,—,2026-08-16,
反压价,候选,2026-08-16run5收割(源④知乎/牛客问题标题),0,0,—,—,2026-08-16,
年度综合总包,候选,2026-08-16run5收割(源④知乎/牛客问题标题),0,0,—,—,2026-08-16,
面试内部审批,候选,2026-08-16run5收割(源④知乎/牛客问题标题),0,0,—,—,2026-08-16,
职场接话,种子,"20260816场景扩展｜接话/反应慢簇：116条、热度中位251（全场最高）、最高12.7万；且「职场表达」种子的备注写着前排被""职场会接话""变体占位",1,run3(2026-08-18)_3/17=17.6%; 0,约42（3条样本）,run3(2026-08-18)_3/17=17.6% | ,2026-08-16,2026-08-18
职场回怼,种子,20260816场景扩展｜回怼/反击簇：33条、中位68、最高55.9万(治同事)——全库天花板最高的一簇,1,run3(2026-08-18)_5/19=26.3%; 0,约515（5条样本）,run3(2026-08-18)_5/19=26.3% | ,2026-08-16,2026-08-18
开会发言紧张,种子,20260816场景扩展｜紧张/上台簇：120条、最高8.9万；场景具体不易串到非职场,1,run3(2026-08-18)_10/20=50.0%; 0,约3518（10条样本）,run3(2026-08-18)_10/20=50.0% | ,2026-08-16,2026-08-18
职场甩锅,种子,20260816场景扩展｜甩锅/背锅/抢功簇：84条、最高4.2万(甩锅小连招),1,run3(2026-08-18)_13/18=72.2%; 0,约1042（13条样本）,run3(2026-08-18)_13/18=72.2% | ,2026-08-16,2026-08-18
压力面,候选,2026-08-17run1 WebSearch知乎/CSDN问题标题,0,0,—,—,2026-08-17,
面试PUA,活跃,2026-08-17run1 WebSearch Gank Interview标题,1,22,14565,81.5%,2026-08-17,2026-08-17
面试暗示,候选,2026-08-17run1 WebSearch知乎问题标题,0,0,—,—,2026-08-17,
向上汇报,候选,2026-08-17run1 XHS个人工作汇报话术前排高频原句,0,0,—,—,2026-08-17,
述职金句,活跃,2026-08-17run1 XHS个人工作汇报话术前排高频原句,1,24,2483,88.9%,2026-08-17,2026-08-17
面试手势,候选,2026-08-17run1 XHS面试肢体语言前排高频原句,0,0,—,—,2026-08-17,
高管感表达,候选,2026-08-17run1 XHS职场表达前排原句,0,0,—,—,2026-08-17,
面试体,候选,2026-08-17run1 XHS面试技巧前排原句,0,0,—,—,2026-08-17,
万能救场话术,活跃,2026-08-17run1 WebSearch CSDN标题,1,run2(2026-08-17)新增21条; 0,约2900（13条XHS样本）| —,2026-08-17run2_21/27=77.8%(XHS+web) | —,2026-08-17,2026-08-17
高效沟通,候选,2026-08-17run1 XHS职场表达筛选标签,0,0,—,—,2026-08-17,
职场鼓励话语,候选,2026-08-17run1 XHS职场表达筛选标签,0,0,—,—,2026-08-17,
幽默救场话术,候选,XHS大家都在搜/万能救场话术,0,0,—,—,2026-08-17,—
解围话术,候选,XHS大家都在搜/万能救场话术,0,0,—,—,2026-08-17,—
例会发言内容,候选,XHS大家都在搜/例会发言技巧,0,0,—,—,2026-08-17,—
面试面评,候选,2026-08-17run3大家都在搜/结果页标签收割,0,0,—,—,2026-08-17,—
面试加面,活跃,2026-08-17run3大家都在搜/结果页标签收割,1,10,363,08-17run4_10/10=100.0%,2026-08-17,2026-08-17
述职结束语,候选,2026-08-17run3大家都在搜/结果页标签收割,0,0,—,—,2026-08-17,—
职场英文表达,候选,2026-08-17run3大家都在搜/结果页标签收割,0,0,—,—,2026-08-17,—
压力面反击话术,活跃,2026-08-17run3大家都在搜/结果页标签收割,1,10,4199,08-17run4_10/20=50.0%,2026-08-17,2026-08-17
面试感谢信,候选,2026-08-17run3大家都在搜/结果页标签收割,0,0,—,—,2026-08-17,—
面试停顿,候选,2026-08-17run3大家都在搜/结果页标签收割,0,0,—,—,2026-08-17,—
高情商接话,候选,2026-08-17run3大家都在搜/结果页标签收割,0,0,—,—,2026-08-17,—
压力面试常见问题,候选,08-17run4下拉补全/相关搜索收割,0,0,—,—,2026-08-17,
面试邀约,候选,08-17run4下拉补全/相关搜索收割,0,0,—,—,2026-08-17,
即兴发言万能公式,候选,08-17run4下拉补全/相关搜索收割,0,0,—,—,2026-08-17,
高管池,候选,08-17run4下拉补全/相关搜索收割,0,0,—,—,2026-08-17,
开会点名发言,活跃,08-17run4下拉补全/相关搜索收割,1,4,"约1089(1条拉高,余无数据)",— | 08-18run6_4/9=44.4%首投,2026-08-17,2026-08-18
终面潜台词,活跃,08-17run4下拉补全/相关搜索收割,1,9,约3.4万,08-18run1_9/21=42.9%,2026-08-17,2026-08-18
面试改期,活跃,08-17run4下拉补全/相关搜索收割,1,17,约72,08-18run1_17/18=94.4%,2026-08-17,2026-08-18
压力型面试问题,候选,08-18run1大家都在搜/知乎问题标题收割,0,0,—,—,2026-08-18,
二面压力面,候选,08-18run1大家都在搜/知乎问题标题收割,0,0,—,—,2026-08-18,
终面ceo面,候选,08-18run1大家都在搜/知乎问题标题收割,0,0,—,—,2026-08-18,
董事长终面,候选,08-18run1大家都在搜/知乎问题标题收割,0,0,—,—,2026-08-18,
会议礼仪发言,活跃,08-18run1大家都在搜/知乎问题标题收割,1,7,约2600,08-18run2_7/9=77.8%,2026-08-18,2026-08-18
推迟面试话术,活跃,08-18run1大家都在搜/知乎问题标题收割,1,8,约350,08-18run2_8/12=66.7%,2026-08-18,2026-08-18
