关键词,场景域,场景类型,意图强度,竞争密度,人工初判,关联案例ID,状态,发布日,笔记链接,搜索来源占比,备注
面试官说经验不匹配还有问题吗我该怎么回答,面试,事件,,,,,候选,,,,"来源:知乎专栏zhuanlan.zhihu.com/p/76969019,2026-08-27run6第4步来源④WebSearch定向检索收割(面试经验不匹配怎么回答候选首投衍生),聚焦'经验不匹配+反问环节'组合触发场景,与已有'面试中hr反问你还有什么问题吗怎么回答'(纯反问环节)/'面试官问缺点应该怎么回答'(泛化缺点类)角度互补;经difflib模糊比对词库全量(最高相似句ratio=0.564)判定角度distinct非同义重复,收录为候选,待XHS恢复登录后三条件验证"
职场上幽默感是加分项还是减分项,职场表达,情境,中,,,,候选,,,,"2026-08-28run1新增,源自知乎question/1963930098601264036,web搜索收割,与既有'职场幽默感训练'根词互补(根词管方法论,本长句管场景争议判断);小红书未登录未做三条件验证"
向上级领导汇报工作有什么要注意的,汇报,情境,中,,,,候选,,,,"2026-08-28run1新增,源自知乎question/5698717820,与既有'向领导汇报工作开头怎么说'角度distinct(注意事项/禁忌 vs 开头话术),经difflib模糊比对非同义变体;小红书未登录未做三条件验证"
工作进度延误了怎么跟领导汇报不甩锅,汇报,情境,高,,,,候选,,,,"2026-08-28run1新增,源自本轮根词'工作进度汇报公式'答案空缺推导(现有内容公式化但缺延误场景避责话术),经difflib模糊比对词库全量非同义变体;小红书未登录未做三条件验证"
被HR压价了该怎么反问回去,谈薪,事件,高,,,,候选,,,,"2026-08-28run2新增,源自本轮根词'HR压薪话术'WebSearch收割(zhihu question/34557602等反问策略延伸),聚焦'反问回去'这一具体应对动作,与既有'hr压价怎么办'类条目角度互补(泛化应对vs反问话术);经difflib模糊比对词库全量无close match(cutoff0.5),判定非同义重复;小红书未登录未做三条件验证"
职场沟通踩雷点有哪些容易得罪人的说话方式,职场沟通,情境,高,,,,候选,,,,"2026-08-28run2新增,源自本轮根词'职场沟通踩雷点'WebSearch收割(脉脉/简历网等多源综合),聚焦'哪些说话方式容易得罪人'的清单式提问,经difflib模糊比对词库全量无close match(cutoff0.5),判定非同义重复;小红书未登录未做三条件验证"
情景模拟面试题该怎么答,面试,症状,中,,,,候选,,,,"2026-08-28run2新增,源自本轮根词'情景模拟面试'WebSearch收割(知乎question/266729331等),聚焦'不会答情景模拟题'的困惑症状,与既有'面试潜台词怎么答''博弈论面试怎么答'角度互补(题型不同);经difflib模糊比对词库全量最高相似ratio=0.53,判定非同义重复;小红书未登录未做三条件验证"
面试完一周HR都没有回复该不该主动问结果,面试后,症状,中,,,,候选,,,,"2026-08-28run2新增,源自本轮根词'面试成功的信号'WebSearch收割(知乎question/493687086),聚焦'该不该主动问'的纠结心态,与既有'面试完没有回复怎么询问'(已知该问只是问法)角度互补(决策纠结vs询问方法);经difflib模糊比对词库全量最高相似ratio=0.52,判定非同义重复;小红书未登录未做三条件验证"
面试被面试官羞辱怎么办,压力面试,症状,高,,,,候选,,,,"2026-08-28run4新增,源自本轮根词'面试被面试官嘲讽了'WebSearch收割(知乎question/14845773026'参加面试被面试官羞辱陷入内耗怎么办'),聚焦'被羞辱后如何应对/走出内耗'的情绪化症状角度,与词库已有'面试被压力面试怎么办'角度存在部分重叠(difflib相似ratio=0.762,低于0.8同义判定阈值)但侧重不同(前者是压力面试通用应对,本词聚焦羞辱后内耗心理),予以收录并标注邻近关系供人工复核;小红书未登录未做三条件验证"
压力面试如何保持冷静专业回应,压力面试,症状,中,,,,候选,,,,"2026-08-28run4新增,源自本轮根词'面试被面试官嘲讽了'WebSearch收割(知乎question/13658230240'遇到面试官频繁质疑的压力面试如何保持冷静并专业回应'),聚焦通用'保持冷静'应对策略,与关键词池活跃词'压力面试被怼怎么回'(0.632)、词库'面试被压力面试怎么办'(0.6)均为中低相似度,判定非同义重复但主题邻近,已在备注注明供选题时参考避免同期发布撞车;小红书未登录未做三条件验证"
职场演讲紧张怎么快速平复,职场表达,症状,中,,,,候选,,,,"2026-08-28run4新增,源自本轮根词'如何自信表达'WebSearch收割(公开演讲/演讲自信心相关站源综合),聚焦'职场公开演讲/发言紧张'的生理症状而非'面试紧张',与既有活跃词'面试紧张怎么快速缓解'(difflib ratio=0.545)场景不同(演讲发言 vs 面试问答),经difflib模糊比对词库全量无更高相似匹配,判定非同义重复;小红书未登录未做三条件验证"
面试官问你从上家公司辞职的原因究竟是在问什么,面试,症状,,,,,候选,,,,"2026-08-28run6新收割,源自知乎question/432411339(第4步来源④WebSearch定向检索,root词hr问上一份工作离职原因衍生),经difflib+grep模糊比对词库全量(与row14'面试被问离职原因怎么说'[已放弃]/row1275'工作四个月就离职面试离职原因怎么说'均无高相似度)判定角度distinct——聚焦HR提问背后的真实考察意图(反向拆解视角),与既往run(2026-08-27run1/run6)识别的'面试官经验不匹配/离职原因缺HR视角反向拆解'答案空缺呼应(第3次同构验证,置信度提升),收录为候选,待XHS恢复登录后三条件验证"
跟领导汇报总被说没重点怎么办,职场表达,症状,,,,,候选,,,,"2026-08-31run4收割(源④知乎问题标题:zhihu.com/question/1934855521862676788;Chrome扩展未连接/内置浏览器小红书未登录,XHS三条件验证跳过,继续候选排队)"
三明治拒绝法真的有用吗,职场沟通,情境,中,,,,候选,,,,"2026-09-01新收割,源自知乎question/1933933031627929251(年轻人开始尝试三明治拒绝法,两句好话中间夹一句拒绝真的有用吗,「拒绝」为啥成了一道社交难题);与词库/关键词池既有'三明治拒绝法'系列角度互补(既有词聚焦具体拒绝场景的话术应用,本词聚焦方法本身有效性的质疑/验证搜索意图);经grep模糊比对词库全量('三明治'关键词此前0处匹配)判定为全新非重复候选;小红书未登录,Chrome扩展未连接,未做三条件验证,待恢复登录后验证;答案空缺=现有'三明治拒绝法'相关内容(媒体解读/使用教程)均在介绍方法本身,缺'对方不吃这一套/强势难缠对象身上方法失效怎么办'的进阶应对角度;2026-09-01run2:小红书仍未登录(内置浏览器navigate小红书搜索页get_page_text/read_page确认完整登录墙[登录后查看搜索结果+手机号输入框];Chrome扩展tabs_context_mcp返回not connected),三条件验证[下拉补全/结果页数量级/前排赞藏]再次无法执行,状态维持候选,继续排队"
拿到offer后被公司毁约怎么办,offer/入职,事件,,,,C_new,候选,,,,"2026-09-01run2新收割,源自WebSearch site:zhihu.com检索'外企offer为何跳过谈薪环节'过程中的旁支发现(校招拿到offer但公司撤回/毁约相关问答,如知乎'offer被企业撤回，应届毕业生怎么办'等);经grep核对词库.csv+关键词池.csv全量'毁约/撤回'关键词均0命中,判定为全新空白角度;现有内容几乎全部停留在'候选人能否毁约/毁约有无法律风险'的单向视角,完全缺'公司单方面撤回/毁约后,候选人如何应对HR电话施压、如何争取补偿'的反向视角,本轮判定为最大答案空缺;小红书未登录,Chrome扩展未连接,未做三条件验证,待恢复登录后验证；2026-09-01run6:小红书仍未登录(Chrome扩展tabs_context_mcp返回not connected,内置浏览器navigate小红书搜索页get_page_text/截图双重确认完整登录墙),三条件验证[下拉补全/结果页数量级/前排赞藏]再次无法执行,状态维持候选,继续排队"
领导问你忙不忙怎么回答,职场沟通,情境,中,中,,C_new,候选,,,,"2026-09-01run4收割,源自WebSearch site:zhihu.com定向检索(职场被问住了怎么接话根词衍生),知乎多篇高赞讨论(question/509232540/619976646/440364398等)聚焦""领导发微信问忙不忙""潜台词解读与万能话术;经grep核对词库.csv+关键词池.csv全量""忙不忙""关键词均0命中,判定为全新空白;答案空缺=现有内容多讲""怎么回答显得积极又不揽活"",缺""被追问到底忙什么时如何一句话带过不显敷衍""的进阶应对;小红书未登录,Chrome扩展未连接,未做三条件验证,待恢复登录后验证"
背调没通过offer被取消怎么办,offer/背调,事件,高,中,,C_new,候选,,,,"2026-09-01run4收割,源自WebSearch site:zhihu.com定向检索(背调对不上怎么解释根词衍生),知乎多篇讨论(zhuanlan.zhihu.com/p/601695837""拿到Offer却因背调没通过被取消""、question/605146682美团背调不通过案例等);与既有""背调对不上怎么解释""(聚焦信息不符时如何解释/预防)角度互补,本词聚焦offer已被取消后的事后视角;经grep核对词库.csv+关键词池.csv全量""背调没通过/取消""关键词均0命中,判定为全新空白;答案空缺=现有内容(i背调官网/CSDN等)几乎全部站在""背调不通过的原因/如何预防""视角,完全缺""结果已出offer已取消后,候选人能否申诉复查/该如何跟下一家新公司解释这段经历""的事后补救与再求职衔接角度,本轮判定为最大答案空缺;小红书未登录,Chrome扩展未连接,未做三条件验证,待恢复登录后验证；2026-09-01run6:小红书仍未登录(Chrome扩展tabs_context_mcp返回not connected,内置浏览器navigate小红书搜索页get_page_text/截图双重确认完整登录墙),三条件验证[下拉补全/结果页数量级/前排赞藏]再次无法执行,状态维持候选,继续排队; run1(2026-09-03)_Chrome扩展已连接但小红书账号未登录(登录墙),三条件验证无法执行,本轮跳过验证,状态不变"
面试如何不被HR和用人部门白嫖,面试,症状,中,,,C_new,候选,,,,"2026-09-01run6第4步来源④知乎收割,源自question/531322792(site:zhihu.com/question 面试官 阴阳怪气 怎么回应 定向检索衍生),聚焦面试/笔试环节被要求无偿输出方案案例/被白嫖劳动成果的处境;经grep核对词库.csv+关键词池.csv全量'白嫖'关键词均0命中,判定为全新空白角度;答案空缺=现有内容多讲'如何识别阴阳怪气面试官/如何反怼',缺'如何礼貌拒绝面试中被要求交付免费方案/试题的具体话术';小红书未登录,Chrome扩展未连接,未做三条件验证,待恢复登录后验证"
面试被问你认为自己适合这个岗位吗该怎么回答,面试,情境,中,,,,候选,,,,"2026-09-01run6第4步来源④知乎收割,源自question/10403111138(同轮site:zhihu.com/question定向检索衍生),经grep核对词库.csv全量'适合这个岗位'关键词0命中,判定非同义重复,收录为候选;与既有'面试问团队氛围'等情境类问题互补;小红书未登录,Chrome扩展未连接,未做三条件验证,待恢复登录后验证"
明明不紧张为什么还是语无伦次,面试临场,症状,高,低,高,,已出稿,,,,人工按「现象→理论→解释→概念」框架选题（Eric 2026-09-01 定）。现象源自真实评论区原话（评论区原话.csv）：「面试前想着无所谓也不紧张，可是一到自我介绍我就磕磕绊绊，我搞不懂自己」。理论落点：注意控制理论（Attentional Control Theory）——临场组织语言/监控自身表现/压制紧张感三件事抢同一块工作记忆带宽，最耗资源的临场组织语言必然先掉线，跟主观信不信自己紧张无关。2026-09-01 opencli 实测供给：搜「明明不紧张为什么还是语无伦次」，前排除1篇泛心理号5335赞外其余均在几十到几千赞，且无一篇聚焦面试自我介绍场景+具体理论命名；⚠️ 换成带「面试自我介绍」字面的长尾词反而会被卷进已饱和的自我介绍万能公式赛道（前排1.9万/2.7万/1.7万赞），故关键词刻意不带该字样，场景仅靠 场景域=面试临场 锚定，写稿时按面试自我介绍场景展开。词库里另一条「面试自我介绍紧张说不清楚怎么办」已在 2026-08-07 因该赛道饱和判放弃，这条不是重复选题，是换了不同的关键词表述与内容结构（现象解释型而非话术清单型）。｜2026-09-02已出稿：成稿_2026-09-02_语无伦次.md，自评84分REVISE（3轮上限），处置=待人工（非自动发布）
面试找工作过程中HR都会问你目前在职还是离职状态正确的该如何回答,面试,事件,中,,,,候选,,,,"2026-09-02run2第4步来源④WebSearch site:zhihu.com/question定向检索'面试 没离职 说真话'衍生,源自zhihu.com/question/622555952;经grep核对词库.csv+关键词池.csv全量,'在职还是离职状态'关键词0命中,判定非同义重复,收录为候选;与既有活跃词'面试没离职该不该说真话'角度互补(该词聚焦是否说真话,本条聚焦在职/离职状态本身如何界定表述);小红书未登录,Chrome扩展未连接,未做三条件验证,待恢复登录后验证; run1(2026-09-03)_Chrome扩展已连接但小红书账号未登录(登录墙),三条件验证无法执行,本轮跳过验证,状态不变"
